,Timestamp,S_M_10cm,S_M_45cm,S_M_80cm,Temperature,Humidity,Pressure,Luxes,Battery,Readings,Day,Date,Time
0,946685371,0.0,0.0,0.0,23.12,58.83,98354.7,615.0,0,0, Sun, 00/01/01, 00:09:31 
1,946685448,0.0,0.0,0.0,23.01,58.56,98354.12,609.0,0,1, Sun, 00/01/01, 00:10:48 
2,946685526,0.0,0.0,0.0,22.87,58.6,98351.9,597.0,0,2, Sun, 00/01/01, 00:12:06 
3,946685604,0.0,0.0,0.0,22.75,58.61,98345.1,599.0,0,3, Sun, 00/01/01, 00:13:24 
4,946685682,0.0,0.0,0.0,22.64,58.9,98344.24,575.0,0,4, Sun, 00/01/01, 00:14:42 
5,946685760,0.0,0.0,0.0,22.54,58.83,98337.7,591.0,0,5, Sun, 00/01/01, 00:16:00 
6,946685838,0.0,0.0,0.0,22.45,59.07,98337.89,579.0,0,6, Sun, 00/01/01, 00:17:18 
7,946685916,0.0,0.0,0.0,22.35,58.57,98329.74,568.0,0,7, Sun, 00/01/01, 00:18:36 
8,946685994,0.0,0.0,0.0,22.27,59.0,98332.94,558.0,0,8, Sun, 00/01/01, 00:19:54 
9,946686072,0.0,0.0,0.0,22.2,58.93,98327.75,572.0,0,9, Sun, 00/01/01, 00:21:12 
10,946686150,0.0,0.0,0.0,22.14,58.94,98321.51,558.0,0,10, Sun, 00/01/01, 00:22:30 
11,946686228,0.0,0.0,0.0,22.09,58.75,98325.26,562.0,0,11, Sun, 00/01/01, 00:23:48 
12,946686306,0.0,0.0,0.0,22.02,58.77,98315.5,512.0,0,12, Sun, 00/01/01, 00:25:06 
13,946686384,0.0,0.0,0.0,21.95,59.34,98315.72,528.0,0,13, Sun, 00/01/01, 00:26:24 
14,946686462,0.0,0.0,0.0,21.89,59.55,98310.31,577.0,0,14, Sun, 00/01/01, 00:27:42 
15,946686540,0.0,0.0,0.0,21.85,59.64,98311.08,555.0,0,15, Sun, 00/01/01, 00:29:00 
16,946686618,0.0,0.0,0.0,21.86,59.93,98313.78,567.0,0,16, Sun, 00/01/01, 00:30:18 
17,946686696,0.0,0.0,0.0,21.86,59.78,98308.38,569.0,0,17, Sun, 00/01/01, 00:31:36 
18,946686774,0.0,0.0,0.0,21.86,59.83,98309.44,545.0,1,18, Sun, 00/01/01, 00:32:54 
19,946686852,0.0,0.0,0.0,21.84,59.74,98305.92,568.0,1,19, Sun, 00/01/01, 00:34:12 
20,946686930,0.0,0.0,0.0,21.82,59.61,98302.44,568.0,2,20, Sun, 00/01/01, 00:35:30 
21,946687008,0.0,0.0,0.0,21.8,59.41,98301.87,535.0,2,21, Sun, 00/01/01, 00:36:48 
22,946687086,0.0,0.0,0.0,21.8,59.16,98295.63,561.0,2,22, Sun, 00/01/01, 00:38:06 
23,946687164,0.0,0.0,0.0,21.79,59.47,98295.07,552.0,3,23, Sun, 00/01/01, 00:39:24 
24,946687242,0.0,0.0,0.0,21.78,59.83,98289.12,524.0,3,24, Sun, 00/01/01, 00:40:42 
25,946687320,0.0,0.0,0.0,21.76,60.33,98279.39,524.0,3,25, Sun, 00/01/01, 00:42:00 
26,946687398,0.0,0.0,0.0,21.78,60.54,98274.81,448.0,4,26, Sun, 00/01/01, 00:43:18 
27,946687476,0.0,0.0,0.0,21.77,60.67,98275.64,482.0,4,27, Sun, 00/01/01, 00:44:36 
28,946687554,0.0,0.0,0.0,21.78,60.88,98272.67,482.0,4,28, Sun, 00/01/01, 00:45:54 
29,946687632,0.0,0.0,0.0,21.79,61.03,98271.62,488.0,5,29, Sun, 00/01/01, 00:47:12 
30,946687710,0.0,0.0,0.0,21.79,61.28,98278.38,512.0,5,30, Sun, 00/01/01, 00:48:30 
31,946687789,0.0,0.0,0.0,21.81,61.46,98272.2,191.0,5,31, Sun, 00/01/01, 00:49:49 
32,946687868,0.0,0.0,0.0,21.86,61.55,98264.39,220.0,5,32, Sun, 00/01/01, 00:51:08 
33,946687947,0.0,0.0,0.0,21.97,61.3,98259.34,238.0,6,33, Sun, 00/01/01, 00:52:27 
34,946688026,0.0,0.0,0.0,22.09,60.78,98260.21,235.0,6,34, Sun, 00/01/01, 00:53:46 
35,946688105,0.0,0.0,0.0,22.2,60.42,98245.15,219.0,6,35, Sun, 00/01/01, 00:55:05 
36,946688184,0.0,0.0,0.0,22.26,60.2,98237.37,226.0,7,36, Sun, 00/01/01, 00:56:24 
37,946688263,0.0,0.0,0.0,22.31,60.03,98240.07,223.0,7,37, Sun, 00/01/01, 00:57:43 
38,946688342,0.0,0.0,0.0,22.37,60.04,98238.2,229.0,7,38, Sun, 00/01/01, 00:59:02 
39,946688421,0.0,0.0,0.0,22.42,59.71,98224.18,235.0,8,39, Sun, 00/01/01, 01:00:21 
40,946688500,0.0,0.0,0.0,22.43,59.78,98222.84,269.0,8,40, Sun, 00/01/01, 01:01:40 
41,946688579,0.0,0.0,0.0,22.45,59.95,98219.87,277.0,8,41, Sun, 00/01/01, 01:02:59 
42,946688658,0.0,0.0,0.0,22.5,59.83,98214.5,265.0,8,42, Sun, 00/01/01, 01:04:18 
43,946688737,0.0,0.0,0.0,22.51,59.73,98212.34,299.0,9,43, Sun, 00/01/01, 01:05:37 
44,946688816,0.0,0.0,0.0,22.53,59.94,98203.97,284.0,9,44, Sun, 00/01/01, 01:06:56 
45,946688895,0.0,0.0,0.0,22.56,60.25,98205.32,284.0,9,45, Sun, 00/01/01, 01:08:15 
46,946688974,0.0,0.0,0.0,22.61,60.26,98200.78,298.0,10,46, Sun, 00/01/01, 01:09:34 
47,946689053,0.0,0.0,0.0,22.63,60.25,98191.06,211.0,10,47, Sun, 00/01/01, 01:10:53 
48,946689132,0.0,0.0,0.0,22.65,60.33,98193.49,233.0,11,48, Sun, 00/01/01, 01:12:12 
49,946689211,0.0,0.0,0.0,22.71,60.09,98188.37,221.0,12,49, Sun, 00/01/01, 01:13:31 
